Country_Code,Country,Year,Indicator_Code,Value,Unit
KOR,KOR,2020,GDPHRS,48.50871298442307,USD_PPP_H
USA,USA,2007,GDPHRS,66.14358889328253,USD_PPP_H
DEU,DEU,2019,GDPHRS,81.94773753764709,USD_PPP_H
DEU,DEU,2020,GDPHRS,82.65223590207722,USD_PPP_H
DEU,DEU,2021,GDPHRS,83.9727840718923,USD_PPP_H
DEU,DEU,2018,GDPHRS,81.38619176211026,USD_PPP_H
USA,USA,2008,GDPHRS,67.05696681449068,USD_PPP_H
USA,USA,2009,GDPHRS,69.50046570394345,USD_PPP_H
USA,USA,2010,GDPHRS,71.1906111351642,USD_PPP_H
USA,USA,2011,GDPHRS,71.11001979434774,USD_PPP_H
USA,USA,2012,GDPHRS,71.46617232541249,USD_PPP_H
USA,USA,2013,GDPHRS,71.79887931400513,USD_PPP_H
KOR,KOR,2014,GDPHRS,40.22897536368683,USD_PPP_H
USA,USA,2005,GDPHRS,64.82301170051905,USD_PPP_H
USA,USA,2006,GDPHRS,65.49329217820618,USD_PPP_H
KOR,KOR,2022,GDPHRS,50.115665319839216,USD_PPP_H
KOR,KOR,2023,GDPHRS,51.07553647092985,USD_PPP_H
KOR,KOR,2024,GDPHRS,52.00305418906071,USD_PPP_H
USA,USA,2016,GDPHRS,73.6846854784062,USD_PPP_H
USA,USA,2017,GDPHRS,74.46483796197043,USD_PPP_H
USA,USA,2018,GDPHRS,75.27728632091625,USD_PPP_H
USA,USA,2019,GDPHRS,76.57222195017918,USD_PPP_H
USA,USA,2020,GDPHRS,80.05585297032337,USD_PPP_H
USA,USA,2021,GDPHRS,81.52020497270419,USD_PPP_H
USA,USA,2022,GDPHRS,81.10142875669932,USD_PPP_H
USA,USA,2023,GDPHRS,82.26885599486027,USD_PPP_H
USA,USA,2024,GDPHRS,84.1147144673672,USD_PPP_H
DEU,DEU,2005,GDPHRS,73.1010904359657,USD_PPP_H
DEU,DEU,2006,GDPHRS,74.31408067634331,USD_PPP_H
DEU,DEU,2007,GDPHRS,75.10936102755076,USD_PPP_H
DEU,DEU,2008,GDPHRS,75.07854620181247,USD_PPP_H
DEU,DEU,2009,GDPHRS,72.84565511113227,USD_PPP_H
DEU,DEU,2010,GDPHRS,74.51070894319314,USD_PPP_H
DEU,DEU,2011,GDPHRS,76.337667031795,USD_PPP_H
DEU,DEU,2012,GDPHRS,76.93112005704255,USD_PPP_H
DEU,DEU,2013,GDPHRS,77.22974821621148,USD_PPP_H
DEU,DEU,2017,GDPHRS,81.10085492613773,USD_PPP_H
DEU,DEU,2022,GDPHRS,84.25514005129615,USD_PPP_H
DEU,DEU,2014,GDPHRS,77.97713783187734,USD_PPP_H
DEU,DEU,2015,GDPHRS,78.48493163318584,USD_PPP_H
DEU,DEU,2016,GDPHRS,79.54771281876491,USD_PPP_H
DEU,DEU,2023,GDPHRS,83.25213881369791,USD_PPP_H
DEU,DEU,2024,GDPHRS,83.0176014578983,USD_PPP_H
